"StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","DistributionChannel","UserLanguage","Q46_First Click","Q46_Last Click","Q46_Page Submit","Q46_Click Count","interest","interfr","earnings","earnmost","earnleast","over6","earnbta","Q28","Q36","Q37","Q38","Q39","Q42","Q40","Q41","Q43","Q136","Q46","Q44","Q127","Q47_1","Q47_2","Q47_3","Q47_4","Q47_5","Q47_6","Q47_7","Q47_8","Q47_DO_1","Q47_DO_2","Q47_DO_3","Q47_DO_4","Q47_DO_5","Q47_DO_6","Q47_DO_7","Q47_DO_8","Q29","Q30","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q32","Q33","Q34","Q35","Q45_First Click","Q45_Last Click","Q45_Page Submit","Q45_Click Count","FL_17_DO_FL_21","FL_17_DO_FL_42","FL_17_DO_FL_25","FL_17_DO_FL_54","FL_17_DO_FL_22","FL_17_DO_FL_65","FL_35_DO_ExpectedValueTest","FL_35_DO_PreviousMLM","FL_35_DO_Risk","EarningsT1_DO_Q103","EarningsT1_DO_Q93","EarningsT1_DO_Q99","EarningsT1_DO_Q100","EarningsT1_DO_Q101","EarningsT1_DO_Q102","EarningsT1_DO_Q106","EarningsT1_DO_Q95","EarningsT1_DO_Q107","EarningsT1_DO_Q96","EarningsT1_DO_Q108","EarningsT1_DO_Q97","EarningsT1_DO_Q109","EarningsT1_DO_Q98","EarningsT1_DO_Q104","EarningsT1_DO_Q105","EarningsT1_DO_Q94","EarningsT2_DO_Q170","EarningsT2_DO_Q171","EarningsT2_DO_Q169","EarningsT2_DO_Q176","EarningsT2_DO_Q165","EarningsT2_DO_Q166","EarningsT2_DO_Q167","EarningsT2_DO_Q179","EarningsT2_DO_Q157","EarningsT2_DO_Q172","EarningsT2_DO_Q173","EarningsT2_DO_Q137","EarningsT2_DO_Q174","EarningsT2_DO_Q163","EarningsT2_DO_Q175","EarningsT2_DO_Q164","EarningsC_DO_Q44","EarningsC_DO_Q121","EarningsC_DO_Q122","EarningsC_DO_Q123","EarningsC_DO_Q23","EarningsC_DO_Q22","EarningsC_DO_Q21","EarningsC_DO_Q117","EarningsC_DO_Q118","EarningsC_DO_Q119","EarningsC_DO_Q120","EarningsC_DO_Q27","EarningsC_DO_Q138","ExpectedValueTest_DO_Q42","ExpectedValueTest_DO_Q41","ExpectedValueTest_DO_Q40","ExpectedValueTest_DO_Q39","ExpectedValueTest_DO_Q38","ExpectedValueTest_DO_Q37","ExpectedValueTest_DO_Q36","IndividualInformation_DO_Q35","IndividualInformation_DO_Q34","IndividualInformation_DO_Q33","IndividualInformation_DO_Q32","IndividualInformation_DO_Q31","IndividualInformation_DO_Q30","IndividualInformation_DO_Q29","T1","T2","C","treatment","tml","tlm","mtl","mlt","ltm","lmt","earnorder","interestg","interestover1","expenses","earnhigh","earnfirst","gender","woman","man","age","education","educ_hs","educ_sc","educ_cg","educ_pg","income","inc_0","inc_25","inc_50","inc_100","black","white","hispanic","other","religious","rel_nr","rel_lr","rel_sr","rel_vr","relig","knownMLM","knowMLMstill","wasMLM","nowMLM","MLMrecruited","numeracy","finance","EVtest","knowledge","earnbta4","risk","linterest","learnings","learnmost","learnleast","lover6","lexpenses","learnbta"
2020-04-01 11:06:19,2020-04-01 11:22:34,100,974,"True",2020-04-01 11:22:34,"anonymous","EN",6.287,301.585,566.597,5,3,"I am not sure its a legit business",1000,1000,500,0.05,3,"500","Exactly 10 people","Less than $15,000","Exactly $240","Less than $102","Exactly $50","More than you can buy today with the money in this account","True","No",NA,"No","No",NA,3,3,6,3,6,1,5,5,"6","3","4","5","1","7","2","8","Man",34,NA,NA,NA,"White",NA,"Not Hispanic or Latino","Some college","$25,000 to $49,999","Somewhat religious",3.41,3.41,247.2,1,NA,"1",NA,NA,NA,NA,"3","2","1","11","2","1","8","9","10","14","5","15","4","16","6","17","7","12","13","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","6","3","5","4","2","1","6","2","5","7","3","1","4",1,0,0,"Company Disclosure",0,1,0,0,0,0,"tlm","3",TRUE,500,0,TRUE,"Man",FALSE,TRUE,34,"Some college",FALSE,TRUE,FALSE,FALSE,"$25,000 to $49,999",FALSE,TRUE,FALSE,FALSE,0,1,FALSE,0,"Somewhat religious",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,NA,FALSE,0,0,0,0,FALSE,32,1.09861228866811,6.90875477931522,6.90875477931522,6.21660610108486,0.048790164169432,6.21660610108486,1.09861228866811
2020-04-01 11:07:04,2020-04-01 11:26:57,100,1192,"True",2020-04-01 11:26:57,"anonymous","EN",18.002,18.002,506.193,1,1,"This feels like an MLM scheme and I am not into selling",1000,1053,0,0.15,1,"500","Exactly 10 people","More than $15,000","Less than $240","Exactly $102","Exactly $50","Less than what you can buy today with the money in this account","False","Yes","No","Yes","Yes","No",2,6,6,1,3,3,6,3,"5","2","8","1","7","3","6","4","Woman",49,NA,NA,NA,"White",NA,"Not Hispanic or Latino","High school graduate","$100,000 or more","Not too religious",0,0,211.113,0,"1",NA,NA,NA,NA,NA,"2","3","1","11","2","1","8","9","10","14","3","15","4","16","6","17","7","12","13","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","1","6","5","2","3","4","3","2","7","4","5","1","6",1,0,0,"Company Disclosure",0,0,0,1,0,0,"mlt","1- No Interest At All",FALSE,500,0,FALSE,"Woman",TRUE,FALSE,49,"High school or less",TRUE,FALSE,FALSE,FALSE,"$100,000 or more",FALSE,FALSE,FALSE,TRUE,0,1,FALSE,0,"Not too religious",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0,2,0,2,FALSE,30,0,6.90875477931522,6.96034772910131,0,0.139761942375159,6.21660610108486,0
2020-04-01 11:10:47,2020-04-01 11:30:52,100,1205,"True",2020-04-01 11:30:52,"anonymous","EN",0,0,510.902,0,1,"I don't believe there is enough opportunity to make a decent living, and there is no guarantee of success.",900,1500,200,0,4,"150","More than 10 people","Exactly $15,000","More than $240","More than $102","Less than $50","Less than what you can buy today with the money in this account","False","No",NA,"Yes","No",NA,2,4,4,3,2,2,4,3,"5","4","1","2","7","6","8","3","Woman",54,NA,NA,NA,"White",NA,"Not Hispanic or Latino","Some college","$50,000 to 99,999","Not at all religious",0,0,217.784,0,NA,"1",NA,NA,NA,NA,"1","2","3","11","2","1","8","9","10","14","5","15","3","16","6","17","7","12","13","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","4","7","6","1","3","5","4","6","5","1","7","2","3",1,0,0,"Company Disclosure",0,0,0,0,1,0,"ltm","1- No Interest At All",FALSE,150,0,TRUE,"Woman",TRUE,FALSE,54,"Some college",FALSE,TRUE,FALSE,FALSE,"$50,000 to 99,999",FALSE,FALSE,TRUE,FALSE,0,1,FALSE,0,"Not at all religious",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,TRUE,3,3,0,6,FALSE,24,0,6.80350525760834,7.31388683163346,5.30330490805908,0,5.01727983681492,1.38629436111989
2020-04-01 11:12:07,2020-04-01 11:30:57,100,1130,"True",2020-04-01 11:30:58,"anonymous","EN",30,35.624,524.783,2,1,"It is not the type of work I would be interested in doing. It sounds like a pyramid marketing job.",4000,6000,2000,0.55,4,"2000","Exactly 10 people","Exactly $15,000","More than $240","More than $102","Less than $50","Less than what you can buy today with the money in this account","False","No",NA,"Yes","No",NA,4,4,4,3,4,4,4,3,"4","5","7","8","3","6","2","1","Man",66,NA,NA,NA,"White",NA,"Not Hispanic or Latino","Some college","Less than $24,999","Not too religious",14.963,22.617,224.054,2,NA,"1",NA,NA,NA,NA,"1","3","2","11","2","1","8","9","10","14","4","15","5","16","6","17","7","12","13","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","6","2","3","5","1","7","7","6","4","1","3","2","5",1,0,0,"Company Disclosure",1,0,0,0,0,0,"tml","1- No Interest At All",FALSE,2000,1,TRUE,"Man",FALSE,TRUE,66,"Some college",FALSE,TRUE,FALSE,FALSE,"Less than $24,999",TRUE,FALSE,FALSE,FALSE,0,1,FALSE,0,"Not too religious",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,NA,TRUE,2,3,0,5,FALSE,30,0,8.29429960885724,8.69968140098951,7.60140233458373,0.438254930931155,7.60140233458373,1.38629436111989
2020-04-01 11:14:21,2020-04-01 11:31:47,100,1045,"True",2020-04-01 11:31:47,"anonymous","EN",55.489,297.041,499.738,2,1,"Just another MLM cam. I'm 62 and seen them come and go over the years. Watch the video, but ONLY read the ""fine print."" THAT'S the story, not the bullshit and hype!",10000,14000,0,0.25,1,"6000","More than 10 people","Exactly $15,000","More than $240","More than $102","More than $50","Less than what you can buy today with the money in this account","False","Yes","No","Yes","No",NA,4,4,4,5,2,4,2,7,"2","5","7","3","1","6","8","4","Man",62,NA,NA,NA,"White",NA,"Not Hispanic or Latino","College graduate","Less than $24,999","Not at all religious",0,0,212.903,0,"1",NA,NA,NA,NA,NA,"1","2","3","11","2","1","8","9","10","14","5","15","4","16","6","17","7","12","13","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","7","4","2","6","3","1","3","4","1","7","5","6","2",1,0,0,"Company Disclosure",0,1,0,0,0,0,"tlm","1- No Interest At All",FALSE,6000,1,FALSE,"Man",FALSE,TRUE,62,"College Graduate/Vocational Training",FALSE,FALSE,TRUE,FALSE,"Less than $24,999",TRUE,FALSE,FALSE,FALSE,0,1,FALSE,0,"Not at all religious",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,3,3,1,7,FALSE,32,0,9.21044036697652,9.54688403461792,0,0.22314355131421,8.69968140098951,0
2020-04-01 11:07:14,2020-04-01 11:32:37,100,1523,"True",2020-04-01 11:32:38,"anonymous","EN",21.101,389.753,502.616,3,2,"I was really discouraged by the large earning gap between those at the non leadership level and those at the top levels.",10000,10000,1000,0.85,5,"2000","More than 10 people","Exactly $15,000","More than $240","More than $102","Less than $50","Less than what you can buy today with the money in this account","False","No",NA,"No","No",NA,2,1,2,3,1,2,1,1,"4","8","1","5","6","3","7","2","Man",32,NA,"Black or African American",NA,NA,NA,"Not Hispanic or Latino","College graduate","$25,000 to $49,999","Not too religious",8.986,8.986,211.83,1,"1",NA,NA,NA,NA,NA,"2","1","3","11","2","1","8","9","10","14","3","15","5","16","6","17","7","12","13","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7","2","4","5","6","3","3","7","6","2","1","5","4",1,0,0,"Company Disclosure",0,0,1,0,0,0,"mtl","2",TRUE,2000,1,FALSE,"Man",FALSE,TRUE,32,"College Graduate/Vocational Training",FALSE,FALSE,TRUE,FALSE,"$25,000 to $49,999",FALSE,TRUE,FALSE,FALSE,1,0,FALSE,0,"Not too religious",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,NA,FALSE,3,3,0,6,TRUE,13,0.693147180559945,9.21044036697652,9.21044036697652,6.90875477931522,0.615185639090233,7.60140233458373,1.6094379124341
2020-04-01 11:07:06,2020-04-01 11:34:16,100,1630,"True",2020-04-01 11:34:17,"anonymous","EN",101.405,322.229,510.136,3,1,"This is a sales proposition that isn't any different than every other one that has come before it. The difference being that you are not getting a salary while making sales and the company is unloading all the associated costs of making sales onto you as the salesperson. Plus I don't believe in these products, and I couldn't sell something that I don't believe in.",10000,20000,0,0.05,4,"2000","More than 10 people","Exactly $15,000","More than $240","More than $102","Less than $50","Less than what you can buy today with the money in this account","False","Yes","No","No","No",NA,2,3,2,1,3,2,3,3,"4","5","7","3","6","8","1","2","Man",42,NA,NA,NA,"White",NA,"Not Hispanic or Latino","Some college","$50,000 to 99,999","Not at all religious",0,0,220.577,0,"1",NA,NA,NA,NA,NA,"1","3","2","11","2","1","8","9","10","14","5","15","3","16","6","17","7","12","13","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","7","2","5","3","1","6","3","7","5","4","1","2","6",1,0,0,"Company Disclosure",0,0,0,0,1,0,"ltm","1- No Interest At All",FALSE,2000,1,FALSE,"Man",FALSE,TRUE,42,"Some college",FALSE,TRUE,FALSE,FALSE,"$50,000 to 99,999",FALSE,FALSE,TRUE,FALSE,0,1,FALSE,0,"Not at all religious",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,3,3,0,6,FALSE,19,0,9.21044036697652,9.90353755128617,0,0.048790164169432,7.60140233458373,1.38629436111989
2020-04-01 11:08:42,2020-04-01 11:34:38,100,1555,"True",2020-04-01 11:34:38,"anonymous","EN",11.345,349.126,501.342,2,1,"Pretty much all MLMs are scams",50,100,0,0,1,"1000","More than 10 people","More than $15,000","More than $240","More than $102","Less than $50","Less than what you can buy today with the money in this account","False","No",NA,"No","No",NA,2,2,2,7,2,2,2,4,"3","6","2","7","5","4","1","8","Woman",30,NA,"Black or African American",NA,NA,"Some other race","Not Hispanic or Latino","College graduate","Less than $24,999","Not at all religious",8.973,123.892,215.961,3,"1",NA,NA,NA,NA,NA,"2","1","3","11","2","1","8","9","10","14","4","15","3","16","6","17","7","12","13","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5","1","3","2","7","6","5","4","2","6","3","1","7",1,0,0,"Company Disclosure",0,0,0,0,0,1,"lmt","1- No Interest At All",FALSE,1000,0,FALSE,"Woman",TRUE,FALSE,30,"College Graduate/Vocational Training",FALSE,FALSE,TRUE,FALSE,"Less than $24,999",TRUE,FALSE,FALSE,FALSE,1,0,FALSE,1,"Not at all religious",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,2,3,0,5,FALSE,23,0,3.93182563272433,4.61512051684126,0,0,6.90875477931522,0
2020-04-01 11:08:52,2020-04-01 11:35:14,100,1581,"True",2020-04-01 11:35:15,"anonymous","EN",250.924,297.746,738.402,2,1,"As someone who's dealt with and heard these types of pitches many times from these ""entrepreneurs"", this just screams PYRAMID SCHEME. It's the usual entrepreneur this, make your own schedule that... I've heard it all and I've seen people believe in these types of scams and lose lots of money.",1000,2000,0,0.05,5,"1000","Less than 10 people","More than $15,000","More than $240","More than $102","Less than $50","Less than what you can buy today with the money in this account","False","Yes","Yes","Yes","No",NA,2,1,2,1,4,4,1,1,"5","2","1","3","7","8","4","6","Man",37,NA,NA,NA,NA,"Some other race","Not Hispanic or Latino","College graduate","$50,000 to 99,999","Not at all religious",62.333,119.534,213.962,2,NA,"1",NA,NA,NA,NA,"3","2","1","11","2","1","8","9","10","14","3","15","4","16","6","17","7","12","13","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","6","4","3","2","5","1","7","3","2","5","1","6","4",1,0,0,"Company Disclosure",0,0,0,1,0,0,"mlt","1- No Interest At All",FALSE,1000,0,TRUE,"Man",FALSE,TRUE,37,"College Graduate/Vocational Training",FALSE,FALSE,TRUE,FALSE,"$50,000 to 99,999",FALSE,FALSE,TRUE,FALSE,0,0,FALSE,1,"Not at all religious",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,1,3,0,4,TRUE,16,0,6.90875477931522,7.60140233458373,0,0.048790164169432,6.90875477931522,1.6094379124341
2020-04-01 11:11:49,2020-04-01 11:35:40,100,1431,"True",2020-04-01 11:35:41,"anonymous","EN",0,0,517.509,0,1,"NOT for me, period. I've tried doing Vemma. In short, NEVER AGAIN.",0,0,0,0,1,NA,"More than 10 people","Don't Know","More than $240","More than $102","Don't Know","Less than what you can buy today with the money in this account",NA,"Yes","Yes","Yes","Yes","No",2,2,2,5,2,2,2,4,"6","4","5","8","1","7","2","3","Woman",47,NA,NA,NA,"White",NA,"Not Hispanic or Latino","College graduate","$50,000 to 99,999","Very religious",61.453,241.818,250.181,4,NA,"1",NA,NA,NA,NA,"2","3","1","11","2","1","8","9","10","14","5","15","4","16","6","17","7","12","13","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","4","5","2","1","7","3","7","4","5","3","1","6","2",1,0,0,"Company Disclosure",0,1,0,0,0,0,"tlm","1- No Interest At All",FALSE,NA,0,TRUE,"Woman",TRUE,FALSE,47,"College Graduate/Vocational Training",FALSE,FALSE,TRUE,FALSE,"$50,000 to 99,999",FALSE,FALSE,TRUE,FALSE,0,1,FALSE,0,"Very religious",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,2,0,4,FALSE,21,0,0,0,0,0,NA,0
