"","variable","interest","earnings"
"1","numeracy",-0.118247041121684,-0.100751916297541
"2","finance",-0.161735185191807,-0.103758831190482
"3","EVtest",-0.0804388782987683,NA
"4","earnbta",0.336157100940751,0.256143750274202
"5","black",0.13994718077721,NA
"6","inc_0",-0.0797015607331974,NA
"7","inc_50",NA,0.0894036723394427
"8","rel_nr",-0.149222433005943,-0.10632402521653
"9","rel_sr",0.128610756265415,NA
"10","rel_vr",NA,0.118606296185553
"11","risk",0.102941514663128,NA
"12","knownMLM",-0.133295289441202,-0.119890814687193
"13","MLMrecruited",-0.141992025319374,-0.0848661501541882
