"","variable","stat","No Disclosure","Company Disclosure","Graphical Disclosure","T1fTC","T2fTC","T2fT1"
"1","interest","Mean",1.90502793296089,1.81621621621622,1.95027624309392,0.56614917928581,0.781633697938581,0.403628677024861
"2","interest","Median",1,1,1,0.570033659417682,0.605070660796189,1
"3","interest","Sd",1.49039146290447,1.45913790686739,1.60303962345817,0.566012173443278,0.781719305462465,0.40313853423388
"4","earnings","Mean",7539.3407821229,5331.64956756757,6219.69060773481,0.17250393577156,0.449770119326269,0.650261086923325
"5","earnings","Median",2500,1000,1000,0.000164339583538982,0.000338410984554057,0.329589066936703
"6","earnings","Sd",12758.7763661232,17725.2595469962,19641.7439105643,0.214073418277912,0.623339824350242,0.559853503064076
"7","earnleast","Mean",2225.21787709497,2096.42048648649,2117.90055248619,0.909729187167996,0.896967968951887,0.985169294165229
"8","earnleast","Median",50,100,0,0.638987385713051,3.79724319702899e-05,1.3295959240581e-09
"9","earnleast","Sd",7574.05559155386,13380.246440719,8132.17458624484,0.894755890578942,0.900007724572037,0.967499118000833
"10","earnmost","Mean",35121.6480446927,162270.134972973,69419.0683425414,0.031557564724904,0.0446359440835603,0.123471631925837
"11","earnmost","Median",10000,6000,5000,0.00242181355302543,0.0562535350858141,0.600355040007953
"12","earnmost","Sd",108358.889055291,790836.675948423,201121.799968947,0.0316992673892718,0.0314905107039571,0.129589132775839
"13","over6","Mean",0.269832402234637,0.197027027027027,0.15828729281768,0.00996445978310703,8.22558326660624e-05,0.121037370940627
"14","over6","Median",0.15,0.05,0.05,0.0378052948826121,9.18824231625373e-06,0.037642535327669
"15","over6","Sd",0.291760396655469,0.240931896214254,0.235968089424226,0.00955933388627911,9.65354711230914e-05,0.196882674116455
"16","expenses","Mean",3164.51127819549,2713.73015873016,3516.27049180328,0.38602593113532,0.683109570048936,0.341655208909432
"17","expenses","Median",2000,1500,1200,0.0883029854148656,0.406084071799895,0.898927220892628
"18","expenses","Sd",4476.33820623669,3869.57232450864,8480.04143335122,0.702197345037857,0.420398680243299,0.30221666092629
