"","variable","Observations","Mean","Median","Sd","Min","Max"
"1","interest",545,1.88990825688073,1,1.51669295783044,1,7
"2","earnings",545,6351.67187155963,1000,16970.8750490828,0,2e+05
"3","earnleast",545,2145.85649541284,25,10060.33599898,0,165000
"4","earnmost",545,89672.6630091743,7000,481325.371815865,0,1e+07
"5","over6",545,0.208073394495413,0.05,0.260829689560616,0,1
"6","expenses",381,3128.07086614173,1800,5906.75331764338,0,78000
"7","numeracy",545,2.27155963302752,3,0.878469146307695,0,3
"8","finance",545,2.61100917431193,3,0.721943283572255,0,3
"9","EVtest",545,0.392660550458716,0,NA,0,1
"10","educ_hs",545,0.122935779816514,0,NA,0,1
"11","educ_sc",545,0.245871559633028,0,NA,0,1
"12","educ_cg",545,0.530275229357798,1,NA,0,1
"13","educ_pg",545,0.100917431192661,0,NA,0,1
"14","earnbta",545,3.05321100917431,3,1.36355994977972,1,7
"15","age",545,41.8256880733945,40,10.8568933414455,22,76
"16","man",545,0.502752293577982,1,NA,0,1
"17","woman",545,0.493577981651376,0,NA,0,1
"18","black",545,0.0678899082568807,0,NA,0,1
"19","white",545,0.844036697247706,1,NA,0,1
"20","hispanic",545,0.0385321100917431,0,NA,0,1
"21","other",545,0.115596330275229,0,NA,0,1
"22","inc_0",545,0.170642201834862,0,NA,0,1
"23","inc_25",545,0.335779816513761,0,NA,0,1
"24","inc_50",545,0.36697247706422,0,NA,0,1
"25","inc_100",545,0.126605504587156,0,NA,0,1
"26","rel_nr",545,0.565137614678899,1,NA,0,1
"27","rel_lr",545,0.135779816513761,0,NA,0,1
"28","rel_sr",545,0.179816513761468,0,NA,0,1
"29","rel_vr",545,0.119266055045872,0,NA,0,1
"30","risk",545,28.2385321100917,28,7.7860866229552,13,52
"31","knownMLM",545,0.467889908256881,0,NA,0,1
"32","wasMLM",545,0.104587155963303,0,NA,0,1
"33","MLMrecruited",545,0.543119266055046,1,NA,0,1
